state,sex,age_group,population
LA,All Sexes,85 years and over,72984
LA,Female,85 years and over,48545
LA,Male,85 years and over,24439
LA,All Sexes,Total,4609913
LA,Female,Total,2338229
LA,Male,Total,2271684
MA,All Sexes,25-34 years,926099
MA,Female,25-34 years,465504
MA,Male,25-34 years,460595
MA,All Sexes,Under 25 years,2038893
MA,Female,Under 25 years,978418
MA,Male,Under 25 years,1060475
MA,All Sexes,35-44 years,838510
MA,Female,35-44 years,428559
MA,Male,35-44 years,409951
MA,All Sexes,45-54 years,984781
MA,Female,45-54 years,505474
MA,Male,45-54 years,479307
MA,All Sexes,55-64 years,883928
MA,Female,55-64 years,459768
MA,Male,55-64 years,424160
MA,All Sexes,65-74 years,562591
MA,Female,65-74 years,302534
MA,Male,65-74 years,260057
MA,All Sexes,75-84 years,299231
MA,Female,75-84 years,174509
MA,Male,75-84 years,124722
MA,All Sexes,85 years and over,154857
MA,Female,85 years and over,104753
MA,Male,85 years and over,50104
MA,All Sexes,Total,6688890
MA,Female,Total,3419519
MA,Male,Total,3269371
MD,All Sexes,25-34 years,820592
MD,Female,25-34 years,414759
MD,Male,25-34 years,405833
MD,All Sexes,Under 25 years,1868715
MD,Female,Under 25 years,896632
MD,Male,Under 25 years,972083
MD,All Sexes,35-44 years,768457
MD,Female,35-44 years,395507
MD,Male,35-44 years,372950
MD,All Sexes,45-54 years,876960
MD,Female,45-54 years,455843
MD,Male,45-54 years,421117
MD,All Sexes,55-64 years,766580
MD,Female,55-64 years,404309
MD,Male,55-64 years,362271
MD,All Sexes,65-74 years,475899
MD,Female,65-74 years,258177
MD,Male,65-74 years,217722
MD,All Sexes,75-84 years,236615
MD,Female,75-84 years,137766
MD,Male,75-84 years,98849
MD,All Sexes,85 years and over,107536
MD,Female,85 years and over,71627
MD,Male,85 years and over,35909
MD,All Sexes,Total,5921354
MD,Female,Total,3034620
MD,Male,Total,2886734
ME,All Sexes,25-34 years,152643
ME,Female,25-34 years,76810
ME,Male,25-34 years,75833
ME,All Sexes,Under 25 years,363834
ME,Female,Under 25 years,172190
ME,Male,Under 25 years,191644
ME,All Sexes,35-44 years,155610
ME,Female,35-44 years,79103
ME,Male,35-44 years,76507
ME,All Sexes,45-54 years,200296
ME,Female,45-54 years,102102
ME,Male,45-54 years,98194
ME,All Sexes,55-64 years,206266
ME,Female,55-64 years,106445
ME,Male,55-64 years,99821
ME,All Sexes,65-74 years,139478
ME,Female,65-74 years,72195
ME,Male,65-74 years,67283
ME,All Sexes,75-84 years,71641
ME,Female,75-84 years,40514
ME,Male,75-84 years,31127
ME,All Sexes,85 years and over,31132
ME,Female,85 years and over,20197
ME,Male,85 years and over,10935
ME,All Sexes,Total,1320900
ME,Female,Total,669556
ME,Male,Total,651344
MI,All Sexes,25-34 years,1207592
MI,Female,25-34 years,600545
MI,Male,25-34 years,607047
